year,title,category,nominee,artist,nominated,decade
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Bad Guy,Billie Eilish,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,"Hey, Ma",Bon Iver,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,7 rings,Ariana Grande,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Hard Place,H.E.R.,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Talk,Khalid,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Truth Hurts,Lizzo,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Sunflower,Post Malone & Swae Lee,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,"I,I",Bon Iver,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,Norman F***ing Rockwell!,Lana Del Rey,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,"thank u, next",Ariana Grande,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,I Used To Know Her,H.E.R.,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,7,Lil Nas X,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,Cuz I Love You (Deluxe),Lizzo,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,Father Of The Bride,Vampire Weekend,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Bad Guy,Billie Eilish,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Always Remember Us This Way,Lady Gaga,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Bring My Flowers Now,Tanya Tucker,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Hard Place,H.E.R.,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Lover,Taylor Swift,True,2010
