Unnamed: 0,track_id,artist,album_name,track_name,popularity,explicit,danceability,energy,valence,track_genre,duration_min,is_loud,is_live,year,title,category,nominee,nominated,decade,gender,country,death,award_count,won_grammy,awards_list
39347,6ZZU6LPjm5ueOsWHb6X5cA,hans zimmer,Hans Zimmer: Epic Scores,"""Gladiator"" - Music From The Motion Picture: Now We Are Free",Low,False,Low,Medium,Very Sad,World Music,Long,False,True,2019.0,62nd Annual GRAMMY Awards  (2019),Best Score Soundtrack For Visual Media,The Lion King,True,2010.0,male,Germany,alive,10.0,True,"Goethe saria; Gold Medal of Merit in the Fine Arts; Grammy Award; Grammy Award for Best Arrangement, Instrumental and Vocals; Grammy Awards; Grammy Sariak; Saturn Award; Stephen Hawking Medal For Science Communication; Stephen Hawking Medal for Science Communication; star on Hollywood Walk of Fame"
11536,14Qcrx6Dfjvcj0H8oV8oUW,london symphony orchestra,The London Symphony Orchestra: The Top 100 of Classical Music,"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",Medium,False,Medium,Low,Very Sad,Pop,Short,False,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Opera Recording,Britten: Billy Budd,True,2000.0,Unknown,Unknown,alive,1.0,False,Gramophone Award for Lifetime Achievement
52485,3HhEScV90AFQ3HoNcXsJjb,hank williams,The Complete Hank Williams,'Neath A Cold Gray Tomb Of Stone,Low,False,Medium,Medium,Happy,Blues,Short,False,False,2014.0,57th Annual GRAMMY Awards  (2014),Best Historical Album,"The Garden Spot Programs, 1950",True,2010.0,male,United States,deceased,3.0,True,Grammy Lifetime Achievement Award; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
76150,6ua4ZcCoSABREsczFvGLI6,bryan adams,Pavarotti & Friends 2,'O Sole Mio - Live,Medium,False,Low,Low,Sad,Classical,Short,False,False,1991.0,34th Annual GRAMMY Awards  (1991),Best Song Written Specifically For A Motion Picture Or For Television,(Everything I Do) I Do It For You (From Robin Hood - Prince Of Thieves),True,1990.0,male,Canada,alive,13.0,True,Canada's Walk of Fame; Canadian Music Hall of Fame; Grammy Award for Best Song Written for Visual Media; Jack Richardson Producer of the Year Award; Juno Award for Album of the Year; Juno Award for Entertainer of the Year; Juno Award for International Album of the Year; Juno Award for Songwriter of the Year; Juno Award/Album of the Year; Juno International Achievement Award; MTV Movie Award for Best Song from a Movie; star on Hollywood Walk of Fame; قالب:Juno Award for International Album of the Year
79935,1wl5b2lw3YagQtZiYZbQWP,thelonious monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",'Round Midnight,Medium,False,Medium,Medium,Sad,Classical,Short,False,False,1987.0,30th Annual GRAMMY Awards  (1987),Best Album Notes,Thelonious Monk - The Complete Riverside Recordings,True,1980.0,male,United States,deceased,4.0,True,Grammy Hall of Fame; Grammy Hall of Fame Award; Grammy Lifetime Achievement Award; star on Hollywood Walk of Fame
64105,13SCCInc8juRiBgAH2309G,louis armstrong,World's Best Christmas Playlist,"'Zat You, Santa Claus? - Single Version",Low,False,High,Medium,Happy,Jazz,Short,False,False,2009.0,52nd Annual GRAMMY Awards  (2009),Best Album Notes,The Complete Louis Armstrong Decca Sessions (1935-1946),True,2000.0,male,United States,deceased,3.0,True,Grammy Lifetime Achievement Award; Rock and Roll Hall of Fame; star on Hollywood Walk of Fame
90493,05K9S4Tbxaj7mKiZyHtjFl,duane eddy,Wiggle Wobble (50's & 60's Collection of Music),(Dance with the) Guitar Man,Low,False,High,High,Very Happy,Rock,Short,False,False,1986.0,29th Annual GRAMMY Awards  (1986),"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",Peter Gunn,True,1980.0,male,United States,deceased,4.0,False,Americana Lifetime Achievement Award for Instrumentalist; Americana Lifetime Achievement Award för instrumentalist; MOJO Awards; Rock and Roll Hall of Fame
91459,1Eb90nmqTrxylKFhcUzW8P,bryan adams,Waking Up The Neighbours,(Everything I Do) I Do It For You,High,False,Medium,Medium,Sad,Rock,Long,False,False,1991.0,34th Annual GRAMMY Awards  (1991),Best Song Written Specifically For A Motion Picture Or For Television,(Everything I Do) I Do It For You (From Robin Hood - Prince Of Thieves),True,1990.0,male,Canada,alive,13.0,True,Canada's Walk of Fame; Canadian Music Hall of Fame; Grammy Award for Best Song Written for Visual Media; Jack Richardson Producer of the Year Award; Juno Award for Album of the Year; Juno Award for Entertainer of the Year; Juno Award for International Album of the Year; Juno Award for Songwriter of the Year; Juno Award/Album of the Year; Juno International Achievement Award; MTV Movie Award for Best Song from a Movie; star on Hollywood Walk of Fame; قالب:Juno Award for International Album of the Year
11069,2PzU4IB8Dr6mxV3lHuaG34,the rolling stones,Out Of Our Heads,(I Can't Get No) Satisfaction - Mono Version,High,False,High,High,Very Happy,Pop,Average,False,False,2017.0,60th Annual GRAMMY Awards  (2017),Best Traditional Blues Album,Blue & Lonesome,True,2010.0,Unknown,Unknown,alive,8.0,True,Grammy Award al miglior album rock; Grammy Award for Best Rock Album; Grammy Hall of Fame; Grammy Hall of Fame Award; Grammy Lifetime Achievement Award; Juno Award for International Entertainer of the Year; Juno Award/International Entertainer of the Year; Rock and Roll Hall of Fame
82484,3ETM2oz7x4tlBGcCCbMloH,elvis costello,The Best Of The First 10 Years,(I Don't Want To Go To) Chelsea,Low,False,Medium,High,Very Happy,Pop,Short,False,False,2019.0,62nd Annual GRAMMY Awards  (2019),Best Traditional Pop Vocal Album,Look Now,True,2010.0,male,United Kingdom,alive,4.0,False,Americana Lifetime Achievement Award for Songwriting; Oifigeach Ord Impireacht na Breataine; Oifigear Òrd Impireachd Bhreatainn; Rock and Roll Hall of Fame
